district,category,ytd2022,ytd2021,update
Bayview,'rrereARSON,0,0,NA
Bayview,ARSON,31,58,NA
Bayview,ASSAULT,315,320,NA
Bayview,BURGLARY,451,429,NA
Bayview,HOMICIDE,12,12,NA
Bayview,HUMAN TRAFFICKING,0,0,NA
Bayview,HUMAN TRAFFICKING - INV SERV,0,1,NA
Bayview,HUMAN TRAFFICKING - SEX ACT,1,2,NA
Bayview,LARCENY THEFT,1317,1415,NA
Bayview,LARCENYTHEELT,0,0,NA
Bayview,MOTOR VEHICLE,0,0,NA
Bayview,MOTOR VEHICLE THEFT,856,828,NA
Bayview,RAPE,22,20,NA
Bayview,ROBBERY,181,184,NA
Bayview,TOTAL,3186,3269,NA
Central,'rrereARSON,0,0,NA
Central,ARSON,35,32,NA
Central,ASSAULT,187,159,NA
Central,BURGLARY,583,722,NA
Central,HOMICIDE,0,0,NA
Central,HUMAN TRAFFICKING,0,0,NA
Central,HUMAN TRAFFICKING - INV SERV,0,0,NA
Central,HUMAN TRAFFICKING - SEX ACT,2,2,NA
Central,LARCENY THEFT,6662,6169,NA
Central,LARCENYTHEELT,0,0,NA
Central,MOTOR VEHICLE,0,0,NA
Central,MOTOR VEHICLE THEFT,396,381,NA
Central,RAPE,23,16,NA
Central,ROBBERY,290,272,NA
Central,TOTAL,8178,7753,NA
Citywide,'rrereARSON,0,0,NA
Citywide,ARSON,251,288,NA
Citywide,ASSAULT,2193,1982,NA
Citywide,BURGLARY,4890,6162,NA
Citywide,HOMICIDE,43,44,NA
Citywide,HUMAN TRAFFICKING,0,0,NA
Citywide,HUMAN TRAFFICKING - INV SERV,1,3,NA
Citywide,HUMAN TRAFFICKING - SEX ACT,14,30,NA
Citywide,LARCENY THEFT,28943,25220,NA
Citywide,LARCENYTHEELT,0,0,NA
Citywide,MOTOR VEHICLE,0,0,NA
Citywide,MOTOR VEHICLE THEFT,5155,4956,NA
Citywide,RAPE,202,188,NA
Citywide,ROBBERY,2006,1892,NA
Citywide,TOTAL,43698,40765,NA
Ingleside,'rrereARSON,0,0,NA
Ingleside,ARSON,20,19,NA
Ingleside,ASSAULT,189,166,NA
Ingleside,BURGLARY,480,563,NA
Ingleside,HOMICIDE,6,1,NA
Ingleside,HUMAN TRAFFICKING,0,0,NA
Ingleside,HUMAN TRAFFICKING - INV SERV,1,1,NA
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,1,NA
Ingleside,LARCENY THEFT,1482,1404,NA
Ingleside,LARCENYTHEELT,0,0,NA
Ingleside,MOTOR VEHICLE,0,0,NA
Ingleside,MOTOR VEHICLE THEFT,794,724,NA
Ingleside,RAPE,17,14,NA
Ingleside,ROBBERY,196,194,NA
Ingleside,TOTAL,3185,3087,NA
Mission,'rrereARSON,0,0,NA
Mission,ARSON,34,53,NA
Mission,ASSAULT,321,314,NA
Mission,BURGLARY,652,822,NA
Mission,HOMICIDE,8,8,NA
Mission,HUMAN TRAFFICKING,0,0,NA
Mission,HUMAN TRAFFICKING - INV SERV,0,0,NA
Mission,HUMAN TRAFFICKING - SEX ACT,1,3,NA
Mission,LARCENY THEFT,2710,2274,NA
Mission,LARCENYTHEELT,0,0,NA
Mission,MOTOR VEHICLE,0,0,NA
Mission,MOTOR VEHICLE THEFT,785,726,NA
Mission,RAPE,25,25,NA
Mission,ROBBERY,353,287,NA
Mission,TOTAL,4889,4512,NA
Northern,'rrereARSON,0,0,NA
Northern,ARSON,54,33,NA
Northern,ASSAULT,257,202,NA
Northern,BURGLARY,781,1131,NA
Northern,HOMICIDE,6,5,NA
Northern,HUMAN TRAFFICKING,0,0,NA
Northern,HUMAN TRAFFICKING - INV SERV,0,0,NA
Northern,HUMAN TRAFFICKING - SEX ACT,1,4,NA
Northern,LARCENY THEFT,5161,4554,NA
Northern,LARCENYTHEELT,0,0,NA
Northern,MOTOR VEHICLE,0,0,NA
Northern,MOTOR VEHICLE THEFT,570,561,NA
Northern,RAPE,29,21,NA
Northern,ROBBERY,246,280,NA
Northern,TOTAL,7105,6791,NA
Park,'rrereARSON,0,0,NA
Park,ARSON,6,9,NA
Park,ASSAULT,54,59,NA
Park,BURGLARY,372,411,NA
Park,HOMICIDE,2,3,NA
Park,HUMAN TRAFFICKING,0,0,NA
Park,HUMAN TRAFFICKING - INV SERV,0,0,NA
Park,HUMAN TRAFFICKING - SEX ACT,0,1,NA
Park,LARCENY THEFT,1365,1470,NA
Park,LARCENYTHEELT,0,0,NA
Park,MOTOR VEHICLE,0,0,NA
Park,MOTOR VEHICLE THEFT,260,247,NA
Park,RAPE,10,8,NA
Park,ROBBERY,43,41,NA
Park,TOTAL,2112,2249,NA
Richmond,'rrereARSON,0,0,NA
Richmond,ARSON,6,21,NA
Richmond,ASSAULT,71,67,NA
Richmond,BURGLARY,368,565,NA
Richmond,HOMICIDE,0,0,NA
