district,category,ytd2022,ytd2021,updated
Bayview,ARSON,32,58,NA
Bayview,ASSAULT,318,326,NA
Bayview,BURGLARY,460,442,NA
Bayview,HOMICIDE,12,12,NA
Bayview,HUMAN TRAFFICKING - INV SERV,0,1,NA
Bayview,HUMAN TRAFFICKING - SEX ACT,1,2,NA
Bayview,LARCENY THEFT,1345,1446,NA
Bayview,MOTOR VEHICLE THEFT,879,849,NA
Bayview,RAPE,22,20,NA
Bayview,ROBBERY,187,187,NA
Bayview,TOTAL,3256,3343,NA
Central,ARSON,36,32,NA
Central,ASSAULT,195,164,NA
Central,BURGLARY,601,736,NA
Central,HOMICIDE,1,0,NA
Central,HUMAN TRAFFICKING - INV SERV,0,0,NA
Central,HUMAN TRAFFICKING - SEX ACT,2,2,NA
Central,LARCENY THEFT,6785,6324,NA
Central,MOTOR VEHICLE THEFT,404,386,NA
Central,RAPE,23,16,NA
Central,ROBBERY,294,279,NA
Central,TOTAL,8341,7939,NA
Citywide,ARSON,256,288,NA
Citywide,ASSAULT,2237,2040,NA
Citywide,BURGLARY,4976,6305,NA
Citywide,HOMICIDE,45,46,NA
Citywide,HUMAN TRAFFICKING - INV SERV,1,3,NA
Citywide,HUMAN TRAFFICKING - SEX ACT,14,30,NA
Citywide,LARCENY THEFT,29595,25952,NA
Citywide,MOTOR VEHICLE THEFT,5284,5088,NA
Citywide,RAPE,204,193,NA
Citywide,ROBBERY,2048,1937,NA
Citywide,TOTAL,44660,41882,NA
Ingleside,ARSON,21,19,NA
Ingleside,ASSAULT,194,170,NA
Ingleside,BURGLARY,487,575,NA
Ingleside,HOMICIDE,7,2,NA
Ingleside,HUMAN TRAFFICKING - INV SERV,1,1,NA
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,1,NA
Ingleside,LARCENY THEFT,1552,1430,NA
Ingleside,MOTOR VEHICLE THEFT,809,746,NA
Ingleside,RAPE,17,14,NA
Ingleside,ROBBERY,199,200,NA
Ingleside,TOTAL,3287,3158,NA
Mission,ARSON,34,53,NA
Mission,ASSAULT,331,324,NA
Mission,BURGLARY,663,849,NA
Mission,HOMICIDE,9,8,NA
Mission,HUMAN TRAFFICKING - INV SERV,0,0,NA
Mission,HUMAN TRAFFICKING - SEX ACT,1,3,NA
Mission,LARCENY THEFT,2795,2349,NA
Mission,MOTOR VEHICLE THEFT,801,749,NA
Mission,RAPE,25,27,NA
Mission,ROBBERY,361,292,NA
Mission,TOTAL,5020,4654,NA
Northern,ARSON,56,33,NA
Northern,ASSAULT,262,210,NA
Northern,BURGLARY,790,1157,NA
Northern,HOMICIDE,6,5,NA
Northern,HUMAN TRAFFICKING - INV SERV,0,0,NA
Northern,HUMAN TRAFFICKING - SEX ACT,1,4,NA
Northern,LARCENY THEFT,5283,4687,NA
Northern,MOTOR VEHICLE THEFT,585,572,NA
Northern,RAPE,30,22,NA
Northern,ROBBERY,254,284,NA
Northern,TOTAL,7267,6974,NA
Park,ARSON,6,9,NA
Park,ASSAULT,55,60,NA
Park,BURGLARY,373,422,NA
Park,HOMICIDE,2,4,NA
Park,HUMAN TRAFFICKING - INV SERV,0,0,NA
Park,HUMAN TRAFFICKING - SEX ACT,0,1,NA
Park,LARCENY THEFT,1393,1502,NA
Park,MOTOR VEHICLE THEFT,268,251,NA
Park,RAPE,10,8,NA
Park,ROBBERY,44,42,NA
Park,TOTAL,2151,2299,NA
Richmond,ARSON,6,21,NA
Richmond,ASSAULT,73,67,NA
Richmond,BURGLARY,371,569,NA
Richmond,HOMICIDE,0,0,NA
Richmond,HUMAN TRAFFICKING - INV SERV,0,0,NA
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,NA
Richmond,LARCENY THEFT,2792,2617,NA
Richmond,MOTOR VEHICLE THEFT,308,324,NA
Richmond,RAPE,7,7,NA
Richmond,ROBBERY,70,102,NA
Richmond,TOTAL,3627,3707,NA
Southern,ARSON,33,32,NA
Southern,ASSAULT,296,236,NA
Southern,BURGLARY,614,729,NA
Southern,HOMICIDE,1,5,NA
Southern,HUMAN TRAFFICKING - INV SERV,0,0,NA
Southern,HUMAN TRAFFICKING - SEX ACT,2,3,NA
Southern,LARCENY THEFT,3491,2597,NA
Southern,MOTOR VEHICLE THEFT,488,469,NA
Southern,RAPE,32,28,NA
Southern,ROBBERY,233,187,NA
Southern,TOTAL,5190,4286,NA
Taraval,ARSON,10,14,NA
Taraval,ASSAULT,87,88,NA
Taraval,BURGLARY,447,556,NA
Taraval,HOMICIDE,2,0,NA
Taraval,HUMAN TRAFFICKING - INV SERV,0,0,NA
Taraval,HUMAN TRAFFICKING - SEX ACT,1,3,NA
Taraval,LARCENY THEFT,2399,1800,NA
Taraval,MOTOR VEHICLE THEFT,545,516,NA
Taraval,RAPE,6,11,NA
Taraval,ROBBERY,108,108,NA
Taraval,TOTAL,3605,3096,NA
Tenderloin,ARSON,22,17,NA
Tenderloin,ASSAULT,418,385,NA
Tenderloin,BURGLARY,170,265,NA
Tenderloin,HOMICIDE,5,10,NA
Tenderloin,HUMAN TRAFFICKING - INV SERV,0,0,NA
Tenderloin,HUMAN TRAFFICKING - SEX ACT,3,5,NA
Tenderloin,LARCENY THEFT,1450,1022,NA
Tenderloin,MOTOR VEHICLE THEFT,177,206,NA
Tenderloin,RAPE,28,25,NA
Tenderloin,ROBBERY,297,248,NA
Tenderloin,TOTAL,2570,2183,NA
